,Ano,Sexo,Qde Benefícios Concedidos,Grupo CID,Grupo/Principais Espécies,CID-Índice,CID-Descrição
421,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J04,Laringite e Traqueite Agudas
422,2008,M,13,Doenças do aparelho respiratório,Ap Invalidez,J15,Pneumonia Bacter Ncop
423,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J16,Pneumonia Dev Out Microorg Infecc Espec N
424,2008,M,13,Doenças do aparelho respiratório,Ap Invalidez,J18,Pneumonia p/Microorg Ne
425,2008,M,9,Doenças do aparelho respiratório,Ap Invalidez,J20,Bronquite Aguda
426,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J21,Bronquiolite Aguda
427,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J32,Sinusite Cronica
428,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J37,Laringite e Laringotraqueite Cronicas
429,2008,M,15,Doenças do aparelho respiratório,Ap Invalidez,J38,Doenc das Cordas Vocais e da Laringe Ncop
430,2008,M,4,Doenças do aparelho respiratório,Ap Invalidez,J39,Outr Doenc das Vias Aereas Super
431,2008,M,17,Doenças do aparelho respiratório,Ap Invalidez,J40,Bronquite Ne Como Aguda ou Cronica
432,2008,M,15,Doenças do aparelho respiratório,Ap Invalidez,J41,Bronquite Cronica Simples e a Mucopurulen
433,2008,M,50,Doenças do aparelho respiratório,Ap Invalidez,J42,Bronquite Cronica Ne
434,2008,M,331,Doenças do aparelho respiratório,Ap Invalidez,J43,Enfisema
435,2008,M,809,Doenças do aparelho respiratório,Ap Invalidez,J44,Outr Doenc Pulmonares Obstrutivas Cronica
436,2008,M,207,Doenças do aparelho respiratório,Ap Invalidez,J45,Asma
437,2008,M,7,Doenças do aparelho respiratório,Ap Invalidez,J46,Estado de Mal Asmatico
438,2008,M,68,Doenças do aparelho respiratório,Ap Invalidez,J47,Bronquectasia
439,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J60,Pneumoconiose dos Mineiros de Carvao
440,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J61,Pneumoconiose Dev Amianto Outr Fibr Miner
441,2008,M,53,Doenças do aparelho respiratório,Ap Invalidez,J62,Pneumoconiose Dev Poeira Que Cont Silica
442,2008,M,8,Doenças do aparelho respiratório,Ap Invalidez,J63,Pneumoconiose Dev Outr Poeiras Inorganica
443,2008,M,10,Doenças do aparelho respiratório,Ap Invalidez,J64,Pneumoconiose Ne
444,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J65,Pneumoconiose Assoc c/Tuberc
445,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J66,Doenc das Vias Aereas Dev Poeiras Org Esp
446,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J67,Pneumonite Hipersensibilid Dev Poeiras Or
447,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J68,Afecc Resp Dev Inal Prod Quim Gas Fumac V
448,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J69,Pneumonite Dev Solidos e Liquidos
449,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J70,Afeccoes Respirat Dev Outr Agentes Extern
450,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J80,Sindr do Desconforto Respirat do Adulto
451,2008,M,4,Doenças do aparelho respiratório,Ap Invalidez,J81,Edema Pulmonar Ne de Outr Form
452,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J82,Eosinofilia Pulmonar Ncop
453,2008,M,39,Doenças do aparelho respiratório,Ap Invalidez,J84,Outr Doenc Pulmonares Intersticiais
454,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J85,Abscesso do Pulmao e do Mediastino
455,2008,M,6,Doenças do aparelho respiratório,Ap Invalidez,J86,Piotorax
456,2008,M,11,Doenças do aparelho respiratório,Ap Invalidez,J90,Derrame Pleural Ncop
