 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Faixa Etária
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2008-2017
"Ano/mês do Óbito";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 74 anos";"Total"
"2008";356;331;493;1546;2461;4926;8784;15198;11871;45966
"..Janeiro/2008";27;29;31;119;190;425;688;1168;866;3543
"..Fevereiro/2008";21;20;36;114;201;384;598;1008;771;3153
"..Março/2008";41;30;41;139;200;404;698;1103;911;3567
"..Abril/2008";43;25;61;114;205;412;699;1191;924;3674
"..Maio/2008";24;35;57;156;234;469;788;1402;1089;4254
"..Junho/2008";24;29;38;163;209;445;829;1362;1070;4169
"..Julho/2008";34;35;49;141;224;441;844;1561;1148;4477
"..Agosto/2008";34;28;36;134;213;397;741;1420;1047;4050
"..Setembro/2008";24;23;30;123;194;362;744;1284;1069;3853
"..Outubro/2008";33;32;40;117;213;407;761;1312;1086;4001
"..Novembro/2008";26;22;38;118;188;383;655;1200;905;3535
"..Dezembro/2008";25;23;36;108;190;397;739;1187;985;3690
"2009";428;392;612;2160;3171;5765;9944;15806;12841;51119
"..Janeiro/2009";16;28;31;137;185;420;741;1156;1020;3734
"..Fevereiro/2009";22;25;44;102;162;340;666;1055;894;3310
"..Março/2009";36;15;46;143;200;429;774;1232;976;3851
"..Abril/2009";32;29;43;129;179;418;713;1279;987;3809
"..Maio/2009";13;29;44;133;248;444;766;1329;1079;4085
"..Junho/2009";41;35;40;127;208;475;785;1396;1135;4242
"..Julho/2009";63;42;68;252;384;583;1082;1558;1372;5404
"..Agosto/2009";75;70;86;381;482;782;1183;1691;1293;6043
"..Setembro/2009";42;34;67;235;370;570;942;1318;1049;4627
"..Outubro/2009";37;31;54;198;274;471;838;1303;1021;4227
"..Novembro/2009";25;26;34;176;261;423;705;1251;1021;3922
"..Dezembro/2009";26;28;55;147;218;410;749;1238;994;3865
"2010";348;348;550;1711;2704;5193;9793;16692;13407;50746
"..Janeiro/2010";31;32;44;154;227;432;773;1200;1028;3921
"..Fevereiro/2010";27;33;37;158;228;412;698;1227;949;3769
"..Março/2010";34;35;52;170;204;403;777;1266;968;3909
