 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Sexo
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2008-2017
"Ano/mês do Óbito";"Masc";"Fem";"Ign";"Total"
"2008";27504;18460;2;45966
"..Janeiro/2008";2130;1412;1;3543
"..Fevereiro/2008";1913;1240;-;3153
"..Março/2008";2187;1379;1;3567
"..Abril/2008";2179;1495;-;3674
"..Maio/2008";2515;1739;-;4254
"..Junho/2008";2518;1651;-;4169
"..Julho/2008";2621;1856;-;4477
"..Agosto/2008";2417;1633;-;4050
"..Setembro/2008";2307;1546;-;3853
"..Outubro/2008";2381;1620;-;4001
"..Novembro/2008";2133;1402;-;3535
"..Dezembro/2008";2203;1487;-;3690
"2009";29879;21234;6;51119
"..Janeiro/2009";2214;1519;1;3734
"..Fevereiro/2009";1990;1320;-;3310
"..Março/2009";2308;1543;-;3851
"..Abril/2009";2321;1488;-;3809
"..Maio/2009";2374;1709;2;4085
"..Junho/2009";2493;1749;-;4242
"..Julho/2009";3115;2289;-;5404
"..Agosto/2009";3397;2645;1;6043
"..Setembro/2009";2697;1930;-;4627
"..Outubro/2009";2419;1807;1;4227
"..Novembro/2009";2293;1629;-;3922
"..Dezembro/2009";2258;1606;1;3865
"2010";30260;20482;4;50746
"..Janeiro/2010";2312;1609;-;3921
"..Fevereiro/2010";2249;1520;-;3769
"..Março/2010";2300;1608;1;3909
"..Abril/2010";2302;1571;1;3874
"..Maio/2010";2552;1752;-;4304
"..Junho/2010";2642;1831;1;4474
"..Julho/2010";2859;1858;-;4717
"..Agosto/2010";2877;1834;1;4712
"..Setembro/2010";2512;1814;-;4326
"..Outubro/2010";2594;1712;-;4306
"..Novembro/2010";2390;1583;-;3973
"..Dezembro/2010";2671;1790;-;4461
"2011";31258;21285;8;52551
"..Janeiro/2011";2687;1953;-;4640
"..Fevereiro/2011";2385;1581;1;3967
"..Março/2011";2457;1744;-;4201
"..Abril/2011";2459;1679;-;4138
"..Maio/2011";2735;1806;2;4543
"..Junho/2011";2906;1965;2;4873
"..Julho/2011";3084;2081;1;5166
"..Agosto/2011";2723;1911;-;4634
"..Setembro/2011";2600;1732;2;4334
"..Outubro/2011";2494;1673;-;4167
"..Novembro/2011";2339;1556;-;3895
"..Dezembro/2011";2389;1604;-;3993
"2012";31278;21379;10;52667
"..Janeiro/2012";2377;1577;1;3955
"..Fevereiro/2012";2210;1494;-;3704
"..Março/2012";2345;1617;-;3962
"..Abril/2012";2256;1593;1;3850
"..Maio/2012";2782;1819;1;4602
"..Junho/2012";2956;2066;1;5023
"..Julho/2012";3247;2356;-;5603
"..Agosto/2012";2846;1952;2;4800
"..Setembro/2012";2631;1792;1;4424
"..Outubro/2012";2726;1835;1;4562
"..Novembro/2012";2422;1599;1;4022
"..Dezembro/2012";2480;1679;1;4160
"2013";33568;23219;6;56793
"..Janeiro/2013";2440;1667;-;4107
"..Fevereiro/2013";2289;1513;-;3802
"..Março/2013";2457;1721;1;4179
"..Abril/2013";2820;1962;-;4782
"..Maio/2013";3139;2363;-;5502
"..Junho/2013";3223;2221;1;5445
"..Julho/2013";3479;2476;1;5956
"..Agosto/2013";3159;2203;-;5362
"..Setembro/2013";2908;2042;1;4951
"..Outubro/2013";2615;1793;1;4409
"..Novembro/2013";2413;1588;-;4001
"..Dezembro/2013";2626;1670;1;4297
"2014";32539;22632;15;55186
"..Janeiro/2014";2580;1776;1;4357
"..Fevereiro/2014";2388;1614;-;4002
"..Março/2014";2553;1729;-;4282
"..Abril/2014";2561;1681;-;4242
"..Maio/2014";2835;1986;-;4821
"..Junho/2014";3031;2128;1;5160
"..Julho/2014";2886;2117;1;5004
"..Agosto/2014";2998;2124;3;5125
"..Setembro/2014";2789;1944;2;4735
"..Outubro/2014";2882;1990;1;4873
"..Novembro/2014";2475;1757;1;4233
"..Dezembro/2014";2561;1786;5;4352
"2015";34093;23868;10;57971
"..Janeiro/2015";2718;1881;7;4606
"..Fevereiro/2015";2269;1467;1;3737
"..Março/2015";2600;1883;-;4483
"..Abril/2015";2856;1956;-;4812
"..Maio/2015";3245;2344;-;5589
"..Junho/2015";3268;2331;-;5599
"..Julho/2015";3309;2353;-;5662
"..Agosto/2015";2973;2041;-;5014
"..Setembro/2015";2736;1895;1;4632
"..Outubro/2015";2707;1982;-;4689
"..Novembro/2015";2557;1755;-;4312
"..Dezembro/2015";2855;1980;1;4836
"2016";37627;26382;4;64013
"..Janeiro/2016";2812;1860;-;4672
"..Fevereiro/2016";2728;1796;1;4525
"..Março/2016";3278;2318;1;5597
"..Abril/2016";3745;2822;-;6567
"..Maio/2016";3839;2682;-;6521
"..Junho/2016";3699;2580;-;6279
"..Julho/2016";3580;2601;1;6182
"..Agosto/2016";3168;2202;-;5370
"..Setembro/2016";2812;1944;-;4756
"..Outubro/2016";2675;1962;1;4638
"..Novembro/2016";2573;1778;-;4351
"..Dezembro/2016";2718;1837;-;4555
"2017";34357;24623;5;58985
"..Janeiro/2017";2543;1768;1;4312
"..Fevereiro/2017";2389;1645;-;4034
