Ano/mês do Óbito;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2008;213;108;485;57;1173;80;182;755;407;1600;409;666;1972;674;308;2270;4833;644;5430;12427;3021;1419;3592;552;639;1703;347;45966
..Janeiro/2008;16;8;50;8;94;3;20;62;27;150;32;48;139;55;24;198;400;55;427;978;198;95;214;33;46;132;31;3543
..Fevereiro/2008;18;9;32;3;88;6;20;67;35;128;38;59;123;47;20;174;347;37;381;808;186;91;220;30;46;116;24;3153
..Março/2008;21;9;34;5;115;7;27;81;51;148;22;65;137;45;22;171;379;48;418;985;195;96;208;48;62;148;20;3567
..Abril/2008;19;8;32;2;86;8;18;82;50;126;42;60;162;70;32;187;378;52;420;991;203;103;248;38;60;173;24;3674
..Maio/2008;25;9;53;6;133;12;18;66;38;153;56;71;186;51;30;184;426;55;484;1142;306;133;311;58;50;153;45;4254
..Junho/2008;18;16;40;4;111;8;11;68;33;126;28;68;193;66;30;203;390;65;458;1151;343;118;364;54;52;123;28;4169
..Julho/2008;17;7;37;6;97;4;12;55;33;123;44;63;174;73;30;225;498;71;497;1210;330;156;426;59;69;126;35;4477
..Agosto/2008;7;8;39;4;100;8;13;60;31;149;36;52;176;59;28;210;435;53;508;1082;247;147;335;47;47;145;24;4050
..Setembro/2008;11;8;45;8;86;2;9;59;30;155;27;44;175;61;22;191;415;41;451;960;269;130;375;53;49;145;32;3853
..Outubro/2008;20;7;42;6;84;6;14;57;32;105;28;58;160;53;21;174;412;52;509;1105;282;125;330;47;63;176;33;4001
..Novembro/2008;19;12;40;2;82;10;11;47;26;129;33;38;167;48;25;179;390;41;402;970;256;103;278;36;48;117;26;3535
..Dezembro/2008;22;7;41;3;97;6;9;51;21;108;23;40;180;46;24;174;363;74;475;1045;206;122;283;49;47;149;25;3690
2009;285;151;500;53;1284;81;195;781;440;1630;507;738;2344;702;323;2424;5179;775;5923;13742;3344;1772;4460;639;700;1757;390;51119
..Janeiro/2009;17;17;42;2;105;5;13;70;30;127;38;55;178;51;29;202;415;56;452;989;216;121;268;36;45;125;30;3734
..Fevereiro/2009;30;10;44;6;84;4;15;62;28;124;35;48;164;56;21;173;323;63;427;919;170;76;232;36;32;99;29;3310
..Março/2009;31;17;45;6;98;8;19;85;38;177;45;58;190;47;22;193;381;59;452;1031;246;107;216;46;60;140;34;3851
..Abril/2009;23;9;49;3;120;4;11;70;49;152;49;54;221;49;22;197;410;59;424;1015;170;105;246;49;75;142;32;3809
..Maio/2009;20;11;39;2;128;7;11;72;46;172;62;76;192;61;29;207;418;60;473;1053;249;117;297;46;58;135;44;4085
..Junho/2009;24;3;29;4;106;7;19;66;44;152;41;72;202;73;31;196;394;50;477;1148;317;153;380;49;47;126;32;4242
..Julho/2009;15;13;33;2;104;9;9;61;27;132;41;89;227;76;28;189;502;72;676;1534;409;197;681;58;52;148;20;5404
..Agosto/2009;30;12;53;5;115;7;21;50;39;104;41;49;216;67;36;225;591;99;637;1650;562;287;764;105;69;172;37;6043
..Setembro/2009;26;19;34;3;86;8;15;63;38;120;40;46;189;52;26;231;558;77;482;1213;298;221;361;79;78;232;32;4627
..Outubro/2009;17;14;45;10;111;9;27;52;30;136;29;68;182;64;26;210;412;55;476;1155;256;147;382;46;70;157;41;4227
..Novembro/2009;23;12;51;5;116;6;13;66;40;109;48;59;192;48;22;198;377;67;469;1031;238;136;322;50;56;134;34;3922
..Dezembro/2009;29;14;36;5;111;7;22;64;31;125;38;64;191;58;31;203;398;58;478;1004;213;105;311;39;58;147;25;3865
2010;354;133;489;61;1348;110;215;778;435;1543;440;758;2361;703;362;2528;5327;791;5975;13891;2990;1605;4059;677;719;1739;355;50746
..Janeiro/2010;33;5;50;2;113;6;12;57;46;134;41;54;197;51;26;201;379;77;500;1023;227;97;288;64;62;149;27;3921
..Fevereiro/2010;24;13;25;4;129;9;21;62;30;137;44;68;165;64;18;191;351;42;450;1047;199;123;309;38;58;128;20;3769
..Março/2010;37;22;29;6;126;9;23;77;34;125;43;65;188;58;26;205;416;59;441;1027;213;113;279;54;57;156;21;3909
..Abril/2010;36;6;43;6;119;14;14;68;41;128;26;61;193;67;43;230;429;56;418;1023;216;101;271;56;54;133;22;3874
..Maio/2010;21;7;51;5;112;9;30;75;36;151;46;54;188;50;28;233;482;66;473;1206;252;124;313;42;64;159;27;4304
..Junho/2010;20;8;42;5;104;12;19;66;34;127;36;61;203;71;35;218;508;62;540;1240;302;141;323;60;54;141;42;4474
..Julho/2010;35;12;47;9;99;8;15;65;33;139;35;68;197;67;33;239;495;82;554;1311;285;162;408;49;71;158;41;4717
..Agosto/2010;41;16;35;6;115;9;17;62;30;117;33;58;222;78;33;240;493;87;533;1289;271;169;459;81;58;127;33;4712
..Setembro/2010;28;10;34;3;107;12;12;65;36;122;27;70;169;41;32;193;485;69;520;1189;251;137;397;57;78;147;35;4326
..Outubro/2010;24;11;45;7;116;6;16;66;50;120;34;73;203;55;23;206;453;55;474;1148;273;164;377;62;59;155;31;4306
..Novembro/2010;23;13;36;2;103;5;14;59;33;108;36;67;200;49;29;173;398;51;489;1159;218;138;311;59;42;128;30;3973
..Dezembro/2010;32;10;52;6;105;11;22;56;32;135;39;59;236;52;36;199;438;85;583;1229;283;136;324;55;62;158;26;4461
2011;316;164;503;56;1301;93;212;900;521;1632;506;745;2584;752;439;2679;5237;710;6118;14437;3211;1808;4183;635;696;1731;382;52551
..Janeiro/2011;36;13;40;2;131;4;19;80;46;167;45;63;242;54;30;264;454;65;611;1226;292;146;282;57;84;159;28;4640
..Fevereiro/2011;28;14;45;5;103;8;17;85;50;183;51;55;200;56;32;223;377;44;463;1085;224;111;234;40;49;149;36;3967
..Março/2011;26;15;44;8;109;9;17;86;57;136;47;64;215;80;39;222;379;47;503;1145;215;152;287;55;55;156;33;4201
..Abril/2011;29;12;40;8;99;13;20;101;55;158;46;70;212;63;33;212;414;54;483;1087;232;110;270;63;64;159;31;4138
..Maio/2011;23;12;42;2;124;11;23;93;52;147;41;77;244;76;37;233;439;59;520;1213;299;157;362;40;65;122;30;4543
..Junho/2011;27;16;39;5;103;4;21;70;32;126;47;62;231;68;51;232;523;80;581;1343;308;160;472;60;49;135;28;4873
..Julho/2011;26;13;49;7;113;8;27;69;50;122;38;64;218;58;45;248;537;60;582;1423;352;197;555;67;57;158;23;5166
..Agosto/2011;30;17;42;5;98;3;19;75;33;132;31;63;217;60;24;233;446;63;511;1290;313;196;438;61;65;139;30;4634
..Setembro/2011;31;15;43;6;95;9;13;63;28;120;37;64;199;63;37;189;437;61;511;1196;264;158;407;39;56;141;52;4334
..Outubro/2011;24;13;32;2;121;8;13;63;32;115;47;55;208;56;41;172;393;55;475;1239;236;161;318;56;56;145;31;4167
..Novembro/2011;18;10;40;3;96;8;13;59;44;110;41;48;187;54;34;204;437;48;437;1092;212;150;283;53;44;135;35;3895
..Dezembro/2011;18;14;47;3;109;8;10;56;42;116;35;60;211;64;36;247;401;74;441;1098;264;110;275;44;52;133;25;3993
2012;384;193;466;77;1427;108;204;882;506;1749;498;801;2611;675;413;2585;5562;772;6022;14183;3116;1789;4104;691;710;1760;379;52667
..Janeiro/2012;39;14;36;3;99;9;20;79;49;148;49;48;227;57;20;209;431;66;534;984;221;107;260;47;47;128;24;3955
..Fevereiro/2012;38;14;39;4;104;5;11;65;31;138;37;81;178;45;28;192;334;60;452;989;194;110;283;53;49;139;31;3704
..Março/2012;37;21;56;6;136;8;20;66;41;159;38;64;226;59;30;190;401;50;419;1060;210;124;256;40;58;155;32;3962
..Abril/2012;26;19;53;7;113;14;16;60;41;159;34;58;227;59;36;205;402;56;446;938;207;124;275;54;55;130;36;3850
..Maio/2012;34;15;40;11;131;8;16;90;41;171;50;64;207;53;46;203;505;79;549;1288;255;147;311;67;69;121;31;4602
..Junho/2012;35;19;31;7;126;8;18;86;45;136;34;59;209;59;30;209;554;47;560;1459;341;232;425;62;76;125;31;5023
..Julho/2012;23;16;36;6;150;11;13;70;38;137;44;82;250;61;43;242;575;65;650;1581;445;217;531;86;61;144;26;5603
..Agosto/2012;38;18;31;5;130;9;15;74;41;135;52;71;226;82;49;231;551;67;509;1316;284;173;410;48;68;138;29;4800
..Setembro/2012;29;11;35;7;108;10;17;71;48;126;42;76;212;58;40;220;518;82;457;1138;242;142;380;62;78;171;44;4424
..Outubro/2012;40;15;36;9;117;8;20;91;50;143;44;65;217;52;30;277;460;60;492;1191;276;150;363;68;50;208;30;4562
..Novembro/2012;25;22;47;6;100;11;18;68;36;144;39;62;222;47;32;214;380;77;442;1067;220;140;312;54;42;158;37;4022
..Dezembro/2012;20;9;26;6;113;7;20;62;45;153;35;71;210;43;29;193;451;63;512;1172;221;123;298;50;57;143;28;4160
2013;323;194;498;80;1651;122;246;1025;554;1823;536;881;2856;765;421;2791;5491;746;6631;15735;3411;1775;4565;702;729;1881;361;56793
..Janeiro/2013;23;18;44;8;130;10;27;71;44;161;40;56;243;63;30;212;384;56;528;1060;219;114;272;55;48;154;37;4107
..Fevereiro/2013;33;13;36;3;119;8;21;76;51;116;38;61;184;48;26;200;363;47;498;1053;210;96;226;37;58;150;31;3802
..Março/2013;31;21;43;8;136;11;25;91;54;120;51;83;229;51;39;198;383;50;552;1090;210;123;274;50;75;160;21;4179
..Abril/2013;29;24;57;9;173;17;18;101;55;202;36;75;233;59;24;244;467;59;620;1297;234;135;311;58;70;145;30;4782
..Maio/2013;30;12;42;15;185;21;16;123;64;233;48;66;279;70;39;239;540;58;634;1691;275;125;357;49;79;174;38;5502
..Junho/2013;29;18;40;7;142;11;14;82;40;186;51;89;290;78;48;287;592;67;513;1566;334;177;473;65;64;146;36;5445
..Julho/2013;25;17;37;3;141;9;21;74;50;167;49;103;262;69;48;301;582;89;602;1666;476;205;618;93;60;152;37;5956
..Agosto/2013;22;23;36;4;131;7;24;81;52;138;61;82;235;62;35;244;521;77;604;1498;380;192;513;67;65;183;25;5362
..Setembro/2013;28;16;40;6;122;2;21;82;35;128;35;75;214;56;25;230;480;63;560;1381;326;199;476;67;73;183;28;4951
..Outubro/2013;28;15;41;5;97;8;17;90;31;127;42;71;239;75;32;223;411;67;536;1167;268;155;380;65;50;144;25;4409
..Novembro/2013;23;9;35;4;156;7;19;66;33;121;37;66;215;64;37;196;380;60;448;1072;240;127;331;47;36;145;27;4001
..Dezembro/2013;22;8;47;8;119;11;23;88;45;124;48;54;233;70;38;217;388;53;536;1194;239;127;334;49;51;145;26;4297
2014;329;183;587;65;1538;116;226;1102;612;1850;554;828;2552;760;425;2622;5491;757;6371;15145;3199;1820;4075;694;828;2035;422;55186
..Janeiro/2014;29;10;42;3;132;13;22;80;49;138;45;73;204;59;29;201;436;67;621;1099;242;127;326;53;60;166;31;4357
..Fevereiro/2014;18;10;37;1;88;8;25;90;44;131;43;64;178;61;21;196;353;47;505;1190;216;103;295;49;56;155;18;4002
..Março/2014;33;13;57;5;139;11;28;108;55;151;56;67;211;55;38;220;416;67;461;1113;208;143;310;37;89;165;26;4282
..Abril/2014;35;14;53;5;139;13;17;105;78;188;49;67;189;44;34;215;423;54;492;1101;225;128;258;37;75;166;38;4242
..Maio/2014;34;9;66;8;145;5;17;93;53;184;44;66;195;76;31;223;537;54;511;1398;276;135;302;46;70;192;51;4821
..Junho/2014;30;17;53;7;159;9;18;91;66;175;42;78;222;80;46;226;508;66;529;1467;342;183;349;90;78;182;47;5160
..Julho/2014;32;15;53;6;131;12;13;100;44;146;53;85;228;65;37;221;523;61;551;1308;348;191;407;70;73;188;43;5004
..Agosto/2014;23;12;42;7;136;10;16;90;45;150;36;60;234;72;43;205;526;86;614;1400;352;192;448;73;68;156;29;5125
..Setembro/2014;19;14;53;6;108;8;19;99;49;141;45;64;222;57;35;220;440;57;593;1287;278;182;418;56;63;160;42;4735
..Outubro/2014;26;27;43;5;131;10;18;82;46;155;57;62;226;69;39;244;482;55;552;1405;280;150;357;67;64;186;35;4873
..Novembro/2014;24;21;48;6;113;10;19;88;46;132;37;70;204;63;34;221;422;79;484;1155;204;160;289;58;61;145;40;4233
..Dezembro/2014;26;21;40;6;117;7;14;76;37;159;47;72;239;59;38;230;425;64;458;1222;228;126;316;58;71;174;22;4352
2015;321;188;603;78;1706;105;235;1238;640;2037;586;970;3068;870;511;2887;5767;758;6679;15676;3373;1881;3964;732;785;1905;408;57971
..Janeiro/2015;28;9;58;5;142;8;14;75;46;157;48;75;248;72;39;263;476;55;574;1338;258;108;235;50;57;134;34;4606
..Fevereiro/2015;24;19;46;4;117;5;27;81;32;130;36;61;230;54;33;187;351;62;443;1002;222;112;209;45;52;129;24;3737
..Março/2015;24;14;64;9;140;2;21;136;43;185;47;83;240;62;45;231;449;63;453;1212;267;132;271;53;48;148;41;4483
..Abril/2015;34;14;55;2;170;14;21;145;87;223;64;84;253;55;47;216;444;54;508;1321;223;146;299;47;65;185;36;4812
..Maio/2015;32;28;52;5;187;18;23;116;81;229;55;111;270;55;54;247;525;76;734;1545;293;154;276;60;84;234;45;5589
..Junho/2015;26;18;50;6;143;10;19;100;56;179;58;89;283;91;45;267;604;79;670;1551;307;193;401;77;76;171;30;5599
..Julho/2015;13;19;48;9;124;13;17;109;51;154;43;96;277;90;48;307;618;57;612;1521;385;224;510;61;76;145;35;5662
..Agosto/2015;32;16;46;6;135;8;17;109;41;166;50;75;259;78;37;276;470;69;554;1335;312;166;418;75;69;159;36;5014
..Setembro/2015;25;8;43;8;130;9;21;96;48;149;42;79;242;75;36;214;428;55;553;1241;305;178;342;56;68;154;27;4632
..Outubro/2015;27;23;53;10;140;8;17;104;62;157;50;85;216;68;42;231;497;53;500;1216;304;173;338;65;61;163;26;4689
..Novembro/2015;29;12;43;6;120;3;21;86;45;150;46;56;257;78;44;215;419;67;491;1151;221;158;321;54;66;118;35;4312
..Dezembro/2015;27;8;45;8;158;7;17;81;48;158;47;76;293;92;41;233;486;68;587;1243;276;137;344;89;63;165;39;4836
2016;396;243;562;95;1728;124;215;1265;669;2030;691;1081;3262;918;476;2962;6515;980;7343;17393;3989;2068;4717;968;893;2000;430;64013
..Janeiro/2016;41;22;38;5;147;6;15;101;53;177;56;62;298;68;38;230;493;73;547;1155;252;138;333;69;64;159;32;4672
..Fevereiro/2016;23;18;43;5;125;14;19;98;55;164;55;88;357;70;49;240;397;60;551;1183;200;115;281;64;78;135;38;4525
..Março/2016;35;15;47;6;161;19;14;112;47;172;88;135;398;83;51;283;482;81;578;1671;261;150;307;91;84;192;34;5597
..Abril/2016;56;23;68;3;213;10;31;127;55;178;80;122;310;99;57;266;698;107;706;1956;350;176;432;80;114;196;54;6567
..Maio/2016;42;33;57;8;177;8;14;111;65;218;53;110;304;85;36;269;796;104;752;1659;442;227;520;109;83;200;39;6521
..Junho/2016;35;17;61;13;135;13;13;100;56;185;55;103;244;82;44;246;687;83;741;1731;515;212;545;132;47;160;24;6279
..Julho/2016;36;19;54;18;127;13;29;102;63;175;56;79;248;102;36;249;665;80;710;1726;460;224;495;105;91;187;33;6182
..Agosto/2016;30;26;36;7;126;6;22;104;43;152;54;72;260;72;41;268;559;93;671;1366;361;194;459;70;60;177;41;5370
..Setembro/2016;23;22;45;13;114;8;15;103;62;147;46;60;207;66;32;237;470;67;501;1316;315;165;411;71;60;153;27;4756
..Outubro/2016;28;17;22;3;135;10;18;111;55;173;48;100;217;67;34;218;427;74;498;1213;318;180;358;68;71;140;35;4638
..Novembro/2016;23;12;48;7;113;11;12;102;56;150;44;79;215;56;27;218;382;74;505;1179;260;134;317;58;73;160;36;4351
..Dezembro/2016;24;19;43;7;155;6;13;94;59;139;56;71;204;68;31;238;459;84;583;1238;255;153;259;51;68;141;37;4555
2017;359;185;582;71;1731;120;186;1375;680;2322;648;1006;2742;815;393;2767;6206;977;6550;16065;3460;1891;3971;787;744;1914;438;58985
..Janeiro/2017;29;15;59;7;140;7;17;109;39;184;45;75;181;49;27;182;464;69;541;1164;238;121;279;57;65;124;25;4312
..Fevereiro/2017;34;10;53;3;148;6;18;135;53;202;48;82;165;39;28;175;371;64;455;1096;193;108;253;54;68;141;32;4034
..Março/2017;46;21;68;7;216;12;18;179;67;292;56;91;207;59;27;212;462;63;522;1251;217;119;260;57;67;145;36;4777
..Abril/2017;33;9;52;8;174;16;10;128;84;279;75;95;271;56;21;227;444;78;544;1204;251;156;259;62;49;146;32;4763
